date,open,high,low,close,volume
2018-09-24,15647.0,16320.0,15750.0,15982.0,1112818
2018-09-25,15982.0,16400.0,15968.0,16080.0,2270600
2018-09-26,16080.0,16100.0,15480.0,15687.0,2283995
2018-09-29,15687.0,16100.0,15500.0,15807.0,2900374
2018-09-30,15807.0,16597.0,16450.0,16583.0,4464047
2018-10-01,16583.0,17412.0,15754.0,16663.0,3061534
2018-10-02,16663.0,16000.0,15830.0,15980.0,526915
2018-10-03,15980.0,15500.0,15181.0,15206.0,1682745
2018-10-06,15206.0,15670.0,14446.0,14657.0,1455221
2018-10-07,14657.0,14446.0,13925.0,13991.0,1158206
2018-10-08,13991.0,13900.0,13292.0,13327.0,1383527
2018-10-09,13327.0,13993.0,13892.0,13989.0,1441123
2018-10-10,13989.0,14600.0,14000.0,14275.0,583747
2018-10-13,14275.0,14860.0,13562.0,13636.0,799462
2018-10-14,13636.0,13300.0,13100.0,13574.0,98642
2018-10-15,13574.0,14252.0,13400.0,14109.0,1484822
2018-10-16,14109.0,14541.0,14000.0,14214.0,640508
2018-10-17,14214.0,14199.0,13600.0,13779.0,1190954
2018-10-20,13779.0,14198.0,13924.0,14059.0,730318
2018-10-21,14059.0,14100.0,13590.0,13694.0,823067
2018-10-22,13694.0,14000.0,13200.0,13540.0,1354403
2018-10-23,13540.0,13759.0,13000.0,13461.0,584602
2018-10-24,13461.0,13600.0,13094.0,13343.0,451328
2018-10-27,13343.0,13488.0,13010.0,13217.0,416013
2018-10-28,13217.0,13450.0,13000.0,13173.0,604992
2018-10-29,13173.0,13370.0,13155.0,13202.0,492047
2018-10-31,13202.0,13596.0,13080.0,13266.0,3898616
2018-11-03,13266.0,13778.0,13500.0,13528.0,553990
2018-11-04,13528.0,13540.0,13186.0,13411.0,497517
2018-11-05,13411.0,13680.0,13400.0,13498.0,534553
2018-11-06,13498.0,13649.0,13301.0,13478.0,525209
2018-11-10,13478.0,13500.0,13150.0,13355.0,512136
2018-11-11,13355.0,13400.0,13001.0,13200.0,557268
2018-11-12,13200.0,13280.0,13052.0,13125.0,819299
2018-11-13,13125.0,13319.0,13071.0,13153.0,803469
2018-11-14,13153.0,13810.0,13078.0,13567.0,2170532
2018-11-17,13567.0,14245.0,14003.0,14243.0,3560412
2018-11-18,14243.0,14955.0,14211.0,14879.0,23871406
2018-11-19,14879.0,15622.0,15102.0,15539.0,6618940
2018-11-20,15539.0,15785.0,14800.0,15144.0,3090809
2018-11-21,15144.0,15340.0,14500.0,14898.0,2398302
2018-11-24,14898.0,15230.0,14201.0,14513.0,1317803
2018-11-26,14513.0,14500.0,13817.0,14047.0,1686258
2018-11-27,14047.0,14699.0,14152.0,14420.0,1127379
2018-11-28,14420.0,14980.0,14426.0,14659.0,895104
2018-12-01,14659.0,14995.0,14000.0,14218.0,1053634
2018-12-02,14218.0,14600.0,14017.0,14384.0,572505
2018-12-03,14384.0,14555.0,14041.0,14239.0,714233
2018-12-04,14239.0,14200.0,13800.0,13905.0,773824
2018-12-05,13905.0,14105.0,13800.0,13936.0,714387
2018-12-08,13936.0,14189.0,13901.0,13974.0,387404
2018-12-09,13974.0,14672.0,13990.0,14580.0,2721399
2018-12-10,14580.0,15291.0,14508.0,15072.0,2609625
2018-12-11,15072.0,15240.0,14705.0,15060.0,978674
2018-12-12,15060.0,15100.0,14656.0,14871.0,1072340
2018-12-15,14871.0,15066.0,14502.0,14768.0,2928721
2018-12-16,14768.0,14866.0,14500.0,14648.0,508312
2018-12-17,14648.0,14900.0,14501.0,14710.0,502263
2018-12-18,14710.0,14854.0,14513.0,14686.0,143229
2018-12-19,14686.0,14778.0,14501.0,14649.0,506488
2018-12-22,14649.0,14849.0,14550.0,14701.0,339439
2018-12-23,14701.0,15100.0,14710.0,14987.0,1274267
2018-12-24,14987.0,15000.0,14930.0,14977.0,388738
2018-12-25,14977.0,15555.0,14753.0,15245.0,2698356
2018-12-26,15245.0,15521.0,15070.0,15350.0,3030696
2018-12-29,15350.0,15400.0,15002.0,15138.0,755967
2018-12-30,15138.0,15720.0,15188.0,15447.0,2266539
2018-12-31,15447.0,15700.0,15230.0,15531.0,1254801
2019-01-01,15531.0,15599.0,15251.0,15440.0,1273145
2019-01-02,15440.0,15430.0,15200.0,15338.0,1596487
2019-01-05,15338.0,15500.0,15200.0,15404.0,1777463
2019-01-06,15404.0,15800.0,15425.0,15670.0,1563257
2019-01-07,15670.0,16250.0,15672.0,16087.0,3153418
2019-01-08,16087.0,16298.0,15830.0,16039.0,2382571
2019-01-09,16039.0,16336.0,15792.0,16137.0,1527624
2019-02-02,12179.0,12787.0,12139.0,12739.0,2321001
2019-02-03,12739.0,12600.0,12110.0,12315.0,1270486
2019-02-04,12315.0,12700.0,12270.0,12354.0,428451
2019-02-05,12354.0,12351.0,11900.0,12114.0,1442402
2019-02-06,12114.0,12230.0,11567.0,11922.0,654740
2019-02-10,11922.0,12049.0,11445.0,11625.0,1156902
2019-02-12,11625.0,11741.0,11152.0,11324.0,1137452
